lat,lon,satelite,data
  -7.268930, -79.434720,AQUA_M-T,2025-05-31 19:53:00
  -7.267480, -79.424400,AQUA_M-T,2025-05-31 19:53:00
  -7.210420, -79.396060,AQUA_M-T,2025-05-31 19:53:00
  -5.731470, -77.466160,AQUA_M-T,2025-05-31 19:53:00
  -5.671040, -78.635860,AQUA_M-T,2025-05-31 19:53:00
  -5.669720, -78.626690,AQUA_M-T,2025-05-31 19:53:00
 -13.286690, -66.544420,AQUA_M-T,2025-05-31 19:51:00
 -12.905200, -67.153650,AQUA_M-T,2025-05-31 19:51:00
 -10.701050, -77.692070,AQUA_M-T,2025-05-31 19:51:00
 -10.687770, -77.597820,AQUA_M-T,2025-05-31 19:51:00
 -10.681420, -77.618030,AQUA_M-T,2025-05-31 19:51:00
 -10.667650, -77.712330,AQUA_M-T,2025-05-31 19:51:00
 -10.666300, -77.702890,AQUA_M-T,2025-05-31 19:51:00
 -10.668500, -44.413700,GOES-19,2025-05-31 23:00:00
 -14.700100, -45.115500,GOES-19,2025-05-31 23:00:00
 -14.700600, -45.092000,GOES-19,2025-05-31 23:00:00
  -6.270500, -44.199600,GOES-19,2025-05-31 23:00:00
  -8.685100, -46.650800,GOES-19,2025-05-31 23:00:00
  -8.685400, -46.628500,GOES-19,2025-05-31 23:00:00
 -11.071200, -54.786800,GOES-19,2025-05-31 23:00:00
 -11.071400, -54.766400,GOES-19,2025-05-31 23:00:00
 -11.090300, -54.764800,GOES-19,2025-05-31 23:00:00
 -12.132800, -54.587100,GOES-19,2025-05-31 23:00:00
 -14.578400, -58.758500,GOES-19,2025-05-31 23:00:00
 -14.597600, -58.756700,GOES-19,2025-05-31 23:00:00
